"€1,600 monthly","3 bedrooms (3 double), 1 bathroom, furnished","61 Griffith Road, Ballygall, Finglas, Dublin 11"
"€1,750 monthly","2 bedrooms (2 double), 1 bathroom, furnished","West Gate, Christchurch, Dublin 8, Christchurch, Dublin 8"
"€1,800 monthly","3 bedrooms (3 double), 3 bathrooms, furnished","Mount Garrett Crescent, Tyrrelstown, Dublin 15"
€700 monthly,studio apartment to rent,"10 Patrick Street, Dun Laoghaire, Co. Dublin"
"€1,250 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Brecan Close, Balbriggan, Co. Dublin"
"€2,000 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","The Pavillion, Roebuck Hill, Clonskeagh, Dublin 14"
"€1,900 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Old Malahide Road, Coolock, Dublin 5"
"€1,400 monthly","1 bedroom (1 double), 1 bathroom, furnished","Seafield Road West, Clontarf, Dublin 3"
"€1,650 monthly","1 bedroom (1 single), 1 bathroom, furnished","Broomfield Mews, Malahide, Co. Dublin"
"€1,500 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Exchange Hall, Tallaght, Dublin 24"
"€1,650 monthly","3 bedrooms (1 single, 2 double), 2 bathrooms, furnished","Deselby Drive, Tallaght, Dublin 24"
"€1,925 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Castleforbes Square, Dublin 1"
"€1,650 monthly","1 bedroom (1 double), 1 bathroom, furnished","Kenilworth Road, Rathmines, Dublin 6"
"€1,638 monthly","1 bedroom (1 double), 1 bathroom, furnished","Seamount, Stillorgan Road, Blackrock, Co. Dublin"
"€1,450 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","6 Bealing Avenue, Tyrrelstown, Dublin 15"
"€1,652 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Corn Mill, Distillery Road, Drumcondra, Dublin 3"
€630 monthly,studio apartment to rent,"Mourne Road, Drimnagh, Dublin 12"
€235 weekly,"4 bedrooms (4 single), 4 bathrooms, furnished","Hazelwood Village, Northwood, Santry, Dublin 9"
"€1,400 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Phibblestown Wood, Ongar, Dublin 15"
"€1,000 monthly","1 bedroom (1 double), 1 bath","Reuban Avenue, Rialto, Dublin 8"
"€1,700 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","3 Castleterrace House, Malahide, Co. Dublin"
"€1,920 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Apt 3, 61 Serpentine Avenue, Ballsbridge, Dublin 4"
"€1,500 monthly","2 bedrooms (2 double), 1 bathroom, furnished","The Park, Larchill, Santry, Dublin 9"
"€1,900 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Apt 5 Brooklawn House, Brooklawn, Mount Merrion Av, Blackrock, Co. Dublin"
"€1,850 monthly","2 bedrooms (1 double, 1 twin), 2 bathrooms, furnished","The Orchard, Lucan, Co. Dublin"
"€1,900 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Rothe Abbey, Kilmainham, Dublin 8"
"€1,356 monthly","1 bedroom (1 double), 1 bathroom, furnished","103a Rathmines Road Upper, Rathmines, Dublin 6"
"€1,400 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Arus Na Cluine, Clondalkin, Dublin 22"
"€1,706 monthly","3 bedrooms (1 single, 2 double), 1 bathroom, unfurnished","Binn Eadair View, Sutton, Dublin 13"
"€1,100 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Foxborough Glen, Lucan, Co. Dublin"
"€1,500 monthly","4 bedrooms (1 single, 3 double), 2 bathrooms, furnished or unfurnished","157 Donomore Park, Tallaght, Tallaght, Dublin 24"
"€1,400 monthly","1 bedroom (1 double), 1 bathroom, furnished","Benburb Street, Dublin 7"
"€1,250 monthly","1 bedroom (1 double), 1 bathroom, furnished","Cabra Road, Phibsborough, Dublin 7"
"€1,700 monthly","4 bedrooms (1 single, 2 double, 1 twin), 4 bathrooms, furnished","34 Boulevard, Ballentree Village, Tyrellstown, Tyrrelstown, Dublin 15"
"€1,850 monthly","1 bedroom (1 double), 1 bathroom, furnished","Block B, Smithfield Market, Smithfield, Dublin 7"
"€1,143 monthly","1 bedroom (1 double), 1 bathroom, furnished","Rathbourne Way, Ashtown, Dublin 15"
"€1,250 monthly","1 bedroom (1 double), 1 bathroom, furnished","Howth Road, Clontarf, Dublin 3"
"€1,600 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","The Gallery, Donabate, Co. Dublin"
"€1,300 monthly","1 bedroom (1 double), 1 bathroom, furnished","Kingswood Drive, Tallaght, Dublin 24"
"€2,000 monthly","3 bedrooms (1 single, 1 double, 1 twin), 1 bathroom, furnished","36 Craigford Ave, Artane, Dublin 5"
"€1,550 monthly","1 bedroom (1 double), 1 bathroom, furnished","James's Street, Dublin 8"
"€1,920 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Apt 46 The Watermill, Block 3, Raheny, Dublin 5"
"€1,950 monthly","2 bedrooms (2 double), 1 bathroom, furnished","48 Leinster Avenue, North Strand, Dublin 3"
"€1,650 monthly","3 bedrooms (1 single, 2 double), 1 bathroom, furnished","26 Griffith Drive, Finglas, Finglas, Dublin 11"
"€1,950 monthly","2 bedrooms (1 double, 1 twin), 1 bathroom, furnished","Hanbury Lane, Dublin 8"
€450 weekly,"2 bedrooms (1 single, 1 double), 1 bathroom, furnished","71, Thomas St., Christchurch, Dublin 8"
"€1,275 monthly","1 bedroom (1 double), 1 bathroom, furnished","28 Seagrave Way, Finglas, Dublin 11, Finglas, Dublin 11"
"€1,800 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Fawn Lodge, Castleknock Road, Castleknock, Dublin 15"
"€1,400 monthly","2 bedrooms (1 single, 1 double), 2 bathrooms, furnished","Moylaragh Mews, Balbriggan, Co. Dublin"
"€1,975 monthly","2 bedrooms (2 double), 1 bathroom, furnished","North King Street, Smithfield, Dublin 7"
"€1,550 monthly","3 bedrooms (3 double), 3 bathrooms, furnished","7 Mount Rochford Avenue, Balbriggan, Co. Dublin"
"€1,550 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Burnell Square, Northern Cross, Clarehall, Dublin 17"
"€2,000 monthly","2 bedrooms (1 single, 1 double), 1 bathroom, furnished","59 Waterloo Rd, Ballsbridge, Dublin 4"
"€1,450 monthly","2 bedrooms (1 single, 1 double), 2 bathrooms, furnished","152 Parklands, Northwood, Santry, Dublin 9"
"€1,100 monthly",studio apartment to rent,"Kenilworth Road, Rathgar, Dublin 6"
"€1,470 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Eastcourtyard, East Courtyard, Tullyvale, Cherrywood, Co. Dublin"
"€1,400 monthly","1 bedroom (1 double), 1 bathroom, furnished","24 Peter Place, Dublin 2"
"€1,600 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Burnell Court, Northern Cross, Clarehall, Dublin 17"
"€1,800 monthly","3 bedrooms (1 single, 2 double), 1 bathroom, furnished","Castleknock Brook, Castleknock, Dublin 15"
"€1,850 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Loreto Abbey, Rathfarnham, Dublin 14"
"€1,900 monthly","2 bedrooms (2 double), 1 bathroom, furnished","Norseman Court, Manor Street, Stoneybatter, Dublin 7"
"€1,000 monthly","1 bedroom (1 double), 1 bathroom, furnished","90 Upper Dorset street, Dublin 1"
€900 monthly,studio apartment to rent,"Wainsfort Road, Terenure, Dublin 6w"
€975 monthly,"1 bedroom (1 double), 1 bathroom, furnished","Creston Ave, Finglas, Dublin 11"
"€1,300 monthly","1 bedroom (1 double), 1 bathroom, furnished","Rathborne Drive, Ashtown, Dublin 7"
"€2,000 monthly","1 bedroom (1 double), 1 bathroom, furnished","Burnell Square, Malahide Road, Clonshaugh, Dublin 17"
"€1,950 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","34 Rivervale, Rathborne, Ashtown, Dublin 15"
"€1,664 monthly","3 bedrooms (3 double), 2 bathrooms, furnished","Block A, Lymewood Mews, Santry, Dublin 9"
"€1,872 monthly","2 bedrooms (2 double), 2 bathrooms, unfurnished","142 South Central Rockbrook, Sandyford, Dublin 18"
"€1,400 monthly","2 bedrooms (1 double, 1 twin), 2 bathrooms, furnished","Rosebank Place, Clondalkin, Dublin 22"
"€1,752 monthly","2 bedrooms (2 double), 2 bathrooms, unfurnished","35 Grande Central, Rockbrook, Sandyford, Dublin 18"
"€1,537 monthly","1 bedroom (1 double), 1 bathroom, furnished","126 Grand Central, Sandyford, Dublin 18"
"€1,600 monthly","1 bedroom (1 double), 1 bathroom, furnished","Kings Court, Parnell Street, Dublin 1"
"€1,800 monthly","1 bedroom (1 double), 1 bathroom, furnished","Farmleigh Woods, Castleknock, Dublin 15"
"€1,835 monthly","2 bedrooms (2 double), 2 bathrooms, furnished","Parklands Northwood, Santry, Dublin 9"
"€1,700 monthly","3 bedrooms (1 single, 2 double), 1 bathroom, furnished","Belfry Way, Citywest, Co. Dublin"
"€1,100 monthly","1 bedroom (1 double), 1 bathroom, furnished","Allen Hall, Tallaght, Dublin 24"
"€1,750 monthly","1 bedroom (1 double), 1 bathroom, furnished","Fitzwilliam Quay, Grand Canal Dock, Ringsend, Dublin 4"
